Symbol,Series,Date,Open,High,Low,Close,TotalVolume,NoTrades,DeliveryVolume
TCS,EQ,1-Jan-15,2567,2567,2541,2545.55,183415,8002,52870
TCS,EQ,2-Jan-15,2551,2590.95,2550.6,2579.45,462870,27585,309350
TCS,EQ,5-Jan-15,2581,2599.9,2524.65,2540.25,877121,43234,456728
TCS,EQ,6-Jan-15,2529.1,2529.1,2440,2446.6,1211892,84503,714306
TCS,EQ,7-Jan-15,2470,2479.15,2407.45,2417.7,1318166,101741,886368
TCS,EQ,8-Jan-15,2442.4,2449,2420.55,2443.8,782704,47699,450768
TCS,EQ,9-Jan-15,2455,2519.9,2450,2512.3,1598821,81743,865777
TCS,EQ,12-Jan-15,2517,2528,2480.25,2509.7,798003,58810,451228
TCS,EQ,13-Jan-15,2520,2530.4,2480.1,2497.9,734216,49993,386133
TCS,EQ,14-Jan-15,2516,2531.8,2500.5,2521.95,893548,69237,498193
TCS,EQ,2-Feb-15,2482,2521.45,2462.05,2514.2,1590901,89485,1171718
TCS,EQ,3-Feb-15,2511.65,2565,2507.1,2558.25,1172527,75106,701449
TCS,EQ,4-Feb-15,2568,2571.7,2502.1,2514.3,1122709,60615,807091
TCS,EQ,5-Feb-15,2520,2591.7,2519,2552.4,2265084,77935,1638106
TCS,EQ,6-Feb-15,2553,2594.8,2550.85,2575.75,1068208,82449,582019
TCS,EQ,9-Feb-15,2561.5,2569.1,2500,2512.9,1038216,72967,695542
TCS,EQ,10-Feb-15,2510,2526.25,2433,2441.15,1899527,114773,1383973
TCS,EQ,11-Feb-15,2455.05,2487.25,2447.25,2459.9,1468761,115345,1143243
TCS,EQ,12-Feb-15,2479.8,2479.8,2447,2462.15,1553990,113845,1269759
TCS,EQ,13-Feb-15,2470,2547.75,2460.25,2538.75,2079163,132132,1521051
TCS,EQ,16-Feb-15,2560,2595,2555,2584.8,1182196,82111,831991
TCS,EQ,2-Mar-15,2679.7,2708.95,2652.55,2669.4,1088019,64343,770649
TCS,EQ,3-Mar-15,2682,2790,2676.15,2776,1712154,74770,1068918
TCS,EQ,4-Mar-15,2788,2812.1,2715.65,2746,1931497,71983,1405748
TCS,EQ,5-Mar-15,2750,2770.7,2681.05,2696.45,1086757,45126,677138
TCS,EQ,9-Mar-15,2640,2679.8,2610,2646.8,1441587,64488,864858
TCS,EQ,10-Mar-15,2648.9,2678.25,2595.25,2642.7,1518526,89030,910422
TCS,EQ,11-Mar-15,2642,2659.95,2597.8,2606.55,1120100,52147,616835
TCS,EQ,12-Mar-15,2623.9,2624.9,2590.1,2619.05,913818,62767,582972
TCS,EQ,13-Mar-15,2638,2639.95,2575,2582.35,793419,67541,481480
TCS,EQ,1-Apr-15,2558,2563.6,2522.25,2542.65,1037879,54078,784911
TCS,EQ,6-Apr-15,2558,2562.9,2500.1,2547.3,784271,45408,485665
TCS,EQ,7-Apr-15,2562.45,2599,2544,2585,943461,77106,562689
TCS,EQ,8-Apr-15,2594,2656.5,2590.85,2641.4,826067,61358,496296
TCS,EQ,9-Apr-15,2659,2687.45,2635.15,2664.55,1272225,62583,902143
TCS,EQ,10-Apr-15,2648.5,2670.8,2628,2653.75,907772,63471,625228
TCS,EQ,13-Apr-15,2664,2665,2628,2655.5,654321,54293,451036
TCS,EQ,15-Apr-15,2654.7,2713.9,2609.4,2627.75,1456967,74856,927588
TCS,EQ,16-Apr-15,2626.95,2627,2571.35,2582.8,1608785,71768,1002627
TCS,EQ,17-Apr-15,2557.1,2560,2470,2474.85,4834371,167402,2989132
TCS,EQ,4-May-15,2491,2504.8,2457.2,2481.55,945315,83359,655734
TCS,EQ,5-May-15,2501,2536.45,2500,2517.85,1627535,69702,1015019
TCS,EQ,6-May-15,2515,2515,2455.8,2463.05,1697203,97392,1156742
TCS,EQ,7-May-15,2464.9,2553.75,2453.7,2545.25,1602514,63417,1086092
TCS,EQ,8-May-15,2560,2588,2516.3,2527.25,1501832,53709,1023782
TCS,EQ,11-May-15,2535,2563.05,2525,2556,1286541,73023,931788
TCS,EQ,12-May-15,2560,2565,2513,2522.9,1233693,71964,949366
TCS,EQ,13-May-15,2547,2547,2480.45,2515.4,931887,53692,473256
TCS,EQ,14-May-15,2520,2520,2485,2499.25,654525,40174,381895
TCS,EQ,1-Jun-15,2609.45,2647.1,2608.35,2617.75,441132,35794,251151
TCS,EQ,2-Jun-15,2616,2630,2590.5,2599.9,1967910,54815,1605076
TCS,EQ,3-Jun-15,2604,2625.6,2590.5,2610.9,902342,41440,635538
TCS,EQ,4-Jun-15,2617.1,2622.8,2588.5,2605.65,2065734,44653,1816025
TCS,EQ,5-Jun-15,2592,2609,2570,2575.85,1154267,52168,848596
TCS,EQ,8-Jun-15,2590,2590,2561.65,2577.45,785160,62168,543370
TCS,EQ,9-Jun-15,2585,2590,2551,2561.65,1289457,63744,1099487
TCS,EQ,10-Jun-15,2566,2610,2563.8,2600.75,1381675,42817,1122720
TCS,EQ,11-Jun-15,2605.5,2613,2556.75,2571.3,923668,37803,658949
TCS,EQ,12-Jun-15,2571.9,2588.95,2476.8,2505.8,1285728,80056,700457
TCS,EQ,15-Jun-15,2505.3,2520.45,2481,2504.8,1262588,57691,1008687
TCS,EQ,1-Jul-15,2563.9,2608,2556.75,2593.1,639854,50229,405105
TCS,EQ,2-Jul-15,2600,2602.95,2571.05,2577.75,722940,63066,441786
